name,pr,best_tp,best_tn,best_fp,best_fn
05f10d3a-239c-3bef-9bdc-a2feeb0037aa.csv,0.043496445804003664,865,1742,12258,8
0efb375b-b902-3661-ab23-9a0bb799f4e3.csv,0.13951332897537175,76,468,288,6
1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.csv,0.130366917508973,86,13713,231,845
301c70d8-1630-35ac-8f96-bc1b6f4359ea.csv,0.7131544935812867,588,22,227,1
42d6616d-c9c5-370a-a8ba-17ead74f3114.csv,0.10783036901295995,1287,4533,8788,268
43115f2a-baeb-3b01-96f7-4ea14188343c.csv,0.5525857184711144,499,9906,133,485
431a8542-c468-3988-a508-3afd06a218da.csv,0.28176250371433204,1822,4360,3896,1038
4d2af31a-9916-3d9f-8a8e-8a268a48c095.csv,0.07061647709834018,821,0,10276,0
54350a12-7a9d-3ca8-b81f-f886b9d156fd.csv,0.4123781608172935,32,642,40,7
55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.csv,0.2531597052219777,701,11823,1150,1199
57051487-3a40-3828-9084-a12f7f23ee38.csv,0.9565957247938651,130,10992,0,6
6a757df4-95e5-3357-8406-165e2bd49360.csv,0.5444119186384622,339,10263,5,440
6d1114ae-be04-3c46-b5aa-be1a003a57cd.csv,0.07683933980494474,711,5922,8023,216
6efa3a07-4544-34a0-b921-a155bd1a05e8.csv,0.31457400441399574,1905,8854,3138,977
